id,name_with_brand,overall_sentiment
AVpfrfHF1cnluZ0-pRai,Care Free Curl Gold Instant Activator by Care Free Curl,0.92
AVpfrgjFLJeJML43BvCc,Spam Single Classic by Spam,0.5
AVpfRkzN1cnluZ0-hmnu,"Smead174 2 1/4 Inch Accordion Expansion Wallet, Poly, Letter, Translucent Green by Smead",1.0
AVpfRM8dLJeJML4358wT,Cantu Coconut Milk Shine Hold Mist - 8oz by Cantu,1.0
AVpfRoqcLJeJML436FqG,"Vicks Vaporub, Regular, 3.53oz by Vicks",0.26
AVpfRTh1ilAPnD_xYic2,Planes: Fire Rescue (2 Discs) (includes Digital Copy) (blu-Ray/dvd) by Disney,0.83
AVpfrTyiLJeJML43BrSI,Various Artists - Choo Choo Soul (cd) by UMGD,0.55
AVpfRxSkilAPnD_xYrzm,High-Dome Floor Door Stop by National Mfg.,0.0
AVpfRYbSilAPnD_xYkD4,"Shea Moisture Mango & Carrot Kids Extra-Nourishing Conditioner, 8fl Oz by Shea Moisture",0.83
AVpfs0tUilAPnD_xgqN2,Ceiling Fan With Light White 14.2 X 29.9 X 9.2 - Hunter Fan by Hunter Fan,1.0
AVpfSFDo1cnluZ0-hwjT,Concept Housewares 36 Natural Wood ceiling mounted pot rack by Concept Housewares,0.88
AVpfshNsLJeJML43CB8q,Tostitos Original Restaurant Style Tortilla Chips by Tostitos,0.0
AVpfsQoeilAPnD_xgfx5,Walkers Stem Ginger Shortbread by Walkers,0.0
AVpfSvmGilAPnD_xY_gE,Barielle Nail Rebuilding Protein by Barielle,0.75
AVpfthSailAPnD_xg3ON,"Musselman Apple Sauce, Cinnamon, 48oz by Musselman's",0.29
AVpftikC1cnluZ0-p31V,"Storkcraft Tuscany Glider and Ottoman, Beige Cushions, Espresso Finish by Storkcraft",0.84
AVpfTVkcilAPnD_xZLts,Queen Helene Cocoa Butter Solid by Queen Helene,0.33
AVpftymALJeJML43CZ6y,"Bodycology Nourishing Body Cream, Pretty In Paris by Bodycology",1.0
AVpfUCiPilAPnD_xZai4,Sea Gull Lighting Holman One Light Wall/bath Sconce - Brushed Nickel by Sea Gull Lighting,1.0
AVpfUJu_ilAPnD_xZdDr,Chobani174 Strawberry On The Bottom Non-Fat Greek Yogurt - 5.3oz by Chobani,0.52
AVpfUN2nilAPnD_xZeY3,Meguiars Interior Detailer Wipes 25ct by Meguiars,0.5
AVpfUQZjilAPnD_xZfOU,Bedtime Originals Pinkie Musical Mobile by Bedtime Originals,0.67
AVpfv4TlilAPnD_xhjNS,Various - Red Hot Blue:Tribute To Cole Porter (cd) by Target.com Use Only,0.33
AVpfvieo1cnluZ0-qdnu,L'oreal Paris Advanced Hairstyle TXT IT Hyper-Fix Putty by L'Oreal Paris,0.0
AVpfVMhR1cnluZ0-ixY8,2017-2018 Brownline174 Duraflex 14-Month Planner 8 1/2 X 11 Black by Brownline,0.0
AVpfVPh3ilAPnD_xZzW9,Mrs. Meyer's Lemon Verbena Surface Scrub by Mrs. Meyer's,0.8
AVpfW8y_LJeJML437ySW,L'or233al Paris Elvive Extraordinary Clay Rebalancing Conditioner - 12.6 Fl Oz by L'oreal Paris,0.98
